,Year,Mammals,Birds,Reptiles,Amphibians,Fishes,Insects,Molluscs,Other invertebrates,Plants,Fungi & protists,TOTAL,Status
0,2024,567,693,626,809,"1,686",993,"1,064",607,"10,181",188,"17,414",VU
1,2023,554,717,625,816,"1,604",954,"1,059",743,"9,673",167,"16,912",VU
2,2022,557,754,625,740,"1,539",949,"1,067",732,"9,376",154,"16,493",VU
3,2021,557,773,623,730,"1,454",925,"1,069",727,"8,959",142,"15,959",VU
4,2020,557,798,541,704,"1,338",811,"1,032",712,"8,098",127,"14,718",VU
5,2019,536,800,535,648,"1,214",765,"1,019",710,"6,818",91,"13,136",VU
6,2018,536,799,505,639,"1,172",700,"1,016",708,"5,883",24,"11,982",VU
7,2017,526,786,465,679,"1,242",680,"1,015",709,"5,660",21,"11,783",VU
8,2016,526,787,421,670,"1,238",634,885,695,"5,446",14,"11,316",VU
9,2015,507,741,403,656,"1,211",565,871,685,"5,376",13,"11,028",VU
10,2014,509,741,397,650,"1,192",555,873,685,"5,234",0,"10,836",VU
11,2013,500,713,386,647,"1,167",524,859,650,"5,099",0,"10,545",VU
12,2012,497,727,367,657,"1,149",503,828,569,"4,914",0,"10,211",VU
13,2011,497,682,351,655,"1,137",481,769,568,"4,861",0,"10,001",VU
14,2010,493,678,288,654,"1,075",478,587,568,"4,708",0,"9,529",VU
15,2009,505,669,226,657,810,471,500,629,"4,607",0,"9,074",VU
16,2008,505,671,203,675,717,424,486,628,"4,602",0,"8,911",VU
17,2007,582,672,204,630,693,425,486,325,"4,600",0,"8,617",VU
18,2006,583,674,167,631,681,426,488,323,"4,591",0,"8,564",VU
19,2004,587,688,161,628,470,392,488,316,"4,592",0,"8,322",VU
20,2003,609,681,158,90,444,389,474,302,"3,864",0,"7,011",VU
21,2002,617,684,159,90,442,393,481,300,"3,377",0,"6,543",VU
22,2000,610,680,161,83,452,392,479,300,"3,331",0,"6,488",VU
23,1996/1998,612,704,153,75,443,377,451,300,"3,222",0,"6,337",VU
24,2024,546,395,789,"1,266","1,464",994,647,617,"11,861",109,"18,688",EN
25,2023,550,405,789,"1,265","1,340",978,622,387,"10,901",107,"17,344",EN
26,2022,550,413,784,"1,144","1,220",971,607,371,"10,202",102,"16,364",EN
27,2021,547,447,783,"1,085","1,139",937,599,370,"9,400",96,"15,403",EN
28,2020,539,460,584,"1,036","1,036",690,586,347,"7,925",82,"13,285",EN
29,2019,505,461,565,964,868,571,564,344,"5,727",60,"10,629",EN
30,2018,482,469,515,903,674,537,546,348,"4,537",21,"9,032",EN
31,2017,476,461,484,869,676,461,547,340,"4,123",18,"8,455",EN
32,2016,464,448,421,852,660,408,513,312,"3,691",12,"7,781",EN
33,2015,481,416,361,810,614,305,503,311,"3,510",11,"7,322",EN
34,2014,477,419,356,789,587,270,501,307,"3,231",1,"6,938",EN
35,2013,447,397,329,783,530,247,486,224,"3,009",1,"6,453",EN
36,2012,446,389,296,767,494,207,480,183,"2,655",1,"5,918",EN
37,2011,447,382,284,764,477,169,417,183,"2,564",1,"5,688",EN
38,2010,450,372,200,758,400,166,328,183,"2,397",1,"5,255",EN
39,2009,449,362,150,754,298,151,245,164,"2,316",1,"4,890",EN
40,2008,448,361,134,755,269,132,224,165,"2,280",1,"4,769",EN
41,2007,349,356,139,737,254,129,224,96,"2,278",1,"4,563",EN
42,2006,348,351,101,738,237,129,222,96,"2,258",1,"4,481",EN
43,2004,352,345,79,729,160,120,221,82,"2,239",1,"4,328",EN
44,2003,337,331,78,37,144,118,243,76,"1,634",1,"2,999",EN
45,2002,339,326,79,37,143,118,236,77,"1,291",0,"2,646",EN
46,2000,340,321,74,38,144,118,237,76,"1,266",0,"2,614",EN
47,1996/1998,315,235,59,31,134,116,212,77,"1,197",0,"2,376",EN
48,2024,241,223,430,798,867,436,745,329,"6,117",49,"10,235",CR
49,2023,235,232,434,795,834,429,728,321,"5,702",50,"9,760",CR
50,2022,233,233,433,722,792,425,725,314,"5,336",38,"9,251",CR
51,2021,229,225,433,673,739,408,717,290,"4,976",32,"8,722",CR
52,2020,221,223,324,650,666,347,682,282,"4,337",30,"7,762",CR
53,2019,203,225,309,588,592,311,667,270,"3,229",19,"6,413",CR
54,2018,201,224,287,550,486,300,633,252,"2,879",14,"5,826",CR
55,2017,202,222,266,552,468,273,625,243,"2,722",10,"5,583",CR
56,2016,204,225,237,546,461,226,586,211,"2,506",8,"5,210",CR
57,2015,209,218,180,528,446,176,576,209,"2,347",5,"4,894",CR
58,2014,213,213,174,518,443,168,576,205,"2,119",2,"4,631",CR
59,2013,196,198,164,520,413,125,553,154,"1,957",2,"4,282",CR
60,2012,196,197,144,509,415,119,549,132,"1,821",2,"4,084",CR
61,2011,194,189,137,498,414,91,487,132,"1,731",2,"3,875",CR
62,2010,188,190,106,486,376,89,373,132,"1,619",2,"3,561",CR
63,2009,188,192,93,484,306,89,291,99,"1,577",2,"3,321",CR
64,2008,188,190,86,475,289,70,268,99,"1,575",2,"3,242",CR
65,2007,163,189,79,441,254,69,268,86,"1,569",2,"3,120",CR
66,2006,162,181,73,442,253,68,265,84,"1,541",2,"3,071",CR
67,2004,162,179,64,413,171,47,265,61,"1,490",1,"2,853",CR
68,2003,184,182,57,30,162,46,250,61,"1,276",1,"2,249",CR
69,2002,181,182,55,30,157,46,222,59,"1,046",0,"1,978",CR
70,2000,180,182,56,25,156,45,222,59,"1,014",0,"1,939",CR
71,1996/1998,169,168,41,18,157,44,257,57,909,0,"1,820",CR
